UPC,Price,Variant,Source Link
,199.95,One / Large,https://shop.sportsbasement.com/products/neoair-xlite-nxt-l?variant=40533966717000
100279438004,82.50,Great Smoky / 1 Person,https://shop.sportsbasement.com/products/the-original-puffy-national-park-blanket?variant=40472317886536
100229075001,216.66,Blue Ribbon / S/M,https://shop.sportsbasement.com/products/exos-48?variant=39429348458568
100229075002,216.66,Blue Ribbon / L/XL,https://shop.sportsbasement.com/products/exos-48?variant=39429348491336
100277764001,291.61,Morning Blue / One Size,https://shop.sportsbasement.com/products/boost-650-20f-6c-l?variant=40356133175368
100286706001,249.95,Black / One Size,https://shop.sportsbasement.com/products/lite-cot?variant=40524268372040
,119.96,One / One Size,https://shop.sportsbasement.com/products/khumbu-fx-ta-compact?variant=40584200814664
,33.29,One / One Size,https://shop.sportsbasement.com/products/grand-mesa-4-footprint-1?variant=39459197026376
100286649001,191.66,Elderberry Purple / WXS/S,https://shop.sportsbasement.com/products/kyte-48?variant=40524248875080
100286649002,191.66,Elderberry Purple / WM/L,https://shop.sportsbasement.com/products/kyte-48?variant=40524248907848
100271379001,195.00,Wave-Ink / One Size,https://shop.sportsbasement.com/products/aircontact-ultra-50-6?variant=40110831403080
100271379002,195.00,Savanna-Raisin / One Size,https://shop.sportsbasement.com/products/aircontact-ultra-50-6?variant=40580584439880
100295161001,165.83,Cascade Fade / One Size,https://shop.sportsbasement.com/products/wrap-sack?variant=40644373479496
100286631003,142.46,9150-Black/Carbon / S/M,https://shop.sportsbasement.com/products/trail-vista-28-backpack?variant=40524252086344
100286631004,142.46,9150-Black/Carbon / M/L,https://shop.sportsbasement.com/products/trail-vista-28-backpack?variant=40524252119112
100286631001,142.46,3053-Laurel Green / S/M,https://shop.sportsbasement.com/products/trail-vista-28-backpack?variant=40524252020808
100286631002,142.46,3053-Laurel Green / M/L,https://shop.sportsbasement.com/products/trail-vista-28-backpack?variant=40524252053576
100212299002,49.96,Limon/Silver / Regular,https://shop.sportsbasement.com/products/z-lite-sol-regular?variant=32179285131336
100286287001,299.95,Fog/Smokey Olive / One Size,https://shop.sportsbasement.com/products/aurora-3p-footprint-2?variant=40524250710088
100212299001,49.96,Blue/Silver / Regular,https://shop.sportsbasement.com/products/z-lite-sol-regular?variant=32179285065800
,174.95,One / Regular,https://shop.sportsbasement.com/products/neoair-xlite-nxt-r?variant=40533967962184
100225197001,599.98,Moss Green/Black / Regular LH,https://shop.sportsbasement.com/products/versalte-10-60?variant=39274841702472
100277762001,266.61,Morning Blue / One Size,https://shop.sportsbasement.com/products/boost-650-20f-6c-r?variant=40356132257864
100225197002,599.98,Moss Green/Black / Regular RH,https://shop.sportsbasement.com/products/versalte-10-60?variant=39274841768008
100259040001,104.96,One / Regular LH,https://shop.sportsbasement.com/products/anthracite-20-reg?variant=39854315372616
100222707001,141.62,Black / One Size,https://shop.sportsbasement.com/products/table-one-hard-top-l?variant=39249481564232
100248257001,165.83,Blue / Regular,https://shop.sportsbasement.com/products/w-comfort-light-insulated?variant=39442179620936
100264600001,208.33,Black / S/M,https://shop.sportsbasement.com/products/kestrel-60?variant=40052104986696
100264600002,208.33,Black / L/XL,https://shop.sportsbasement.com/products/kestrel-60?variant=40052105019464
100225198001,624.98,Moss Green/Black / Long LH,https://shop.sportsbasement.com/products/versalite-10-66?variant=39890565824584
100225198002,624.98,Moss Green/Black / Long RH,https://shop.sportsbasement.com/products/versalite-10-66?variant=39890565857352
100287109001,132.49,Bombay Brown / Regular,https://shop.sportsbasement.com/products/pursuit-si-mat-rectangular-reg?variant=40528359260232
100259032001,202.46,One / Regular RH,https://shop.sportsbasement.com/products/w-greystone-20-reg?variant=39854317633608
100276855001,624.98,Y10-Agave Green/Asphalt Grey / One Size,https://shop.sportsbasement.com/products/wawona-8p?variant=40342091890760
100252937001,266.66,Night Shift/Scoria Blue / S/M,https://shop.sportsbasement.com/products/atmos-ag-lt-65?variant=39844992876616
100252937002,266.66,Night Shift/Scoria Blue / L/XL,https://shop.sportsbasement.com/products/atmos-ag-lt-65?variant=39844992909384
100225185001,412.48,Cranberry/Black / Short LH,https://shop.sportsbasement.com/products/summerlite-32-56?variant=39274840916040
100225185002,412.48,Cranberry/Black / Short RH,https://shop.sportsbasement.com/products/summerlite-32-56?variant=39274841047112
100229070005,308.32,Venturi Blue / S/M,https://shop.sportsbasement.com/products/atmos-65?variant=39468165791816
100229070006,308.32,Venturi Blue / L/XL,https://shop.sportsbasement.com/products/atmos-65?variant=39468165922888
100229070001,308.32,Black / S/M,https://shop.sportsbasement.com/products/atmos-65?variant=39468165136456
100229070002,308.32,Black / L/XL,https://shop.sportsbasement.com/products/atmos-65?variant=39468165365832
100229070003,308.32,Mythical Green / S/M,https://shop.sportsbasement.com/products/atmos-65?variant=39468165562440
100229070004,308.32,Mythical Green / L/XL,https://shop.sportsbasement.com/products/atmos-65?variant=39468165693512
100286299001,224.95,Aubergine Print / LXW,https://shop.sportsbasement.com/products/megamat-print-lxw?variant=40532962902088
100286629001,333.28,0040-Storm Gray / XS,https://shop.sportsbasement.com/products/beta-light-30-backpack?variant=40524251889736
100286629002,333.28,0040-Storm Gray / S,https://shop.sportsbasement.com/products/beta-light-30-backpack?variant=40524251922504
100286629003,333.28,0040-Storm Gray / M,https://shop.sportsbasement.com/products/beta-light-30-backpack?variant=40524251955272
100286643001,241.66,Antidote Purple / WXS/S,https://shop.sportsbasement.com/products/aura-ag-lt-50?variant=40524249169992
100286643002,241.66,Antidote Purple / WM/L,https://shop.sportsbasement.com/products/aura-ag-lt-50?variant=40524249202760
100286629004,333.28,0040-Storm Gray / L,https://shop.sportsbasement.com/products/beta-light-30-backpack?variant=40524251988040
,483.27,Birch Bud / One Size,https://shop.sportsbasement.com/products/dagger-osmo-3p-1?variant=40574285217864
100276850001,166.66,3QM-Golden Oak/Pavement / One Size,https://shop.sportsbasement.com/products/stormbreak-10?variant=40342091989064
100225193001,508.31,Royal Blue/Black / Short LH,https://shop.sportsbasement.com/products/ultralite-20-56?variant=39274841505864
100225193002,508.31,Royal Blue/Black / Short RH,https://shop.sportsbasement.com/products/ultralite-20-56?variant=39274841571400
100286703001,133.29,Black / One Size,https://shop.sportsbasement.com/products/chair-zero-l?variant=40524268503112
100286704001,99.95,Blackout Edition / One Size,https://shop.sportsbasement.com/products/chair-one-re?variant=40524268535880
100286704002,99.95,Flame Multi Block / One Size,https://shop.sportsbasement.com/products/chair-one-re?variant=40524268568648
100225205001,608.31,Cranberry/Black / Long LH,https://shop.sportsbasement.com/products/alpinlite-20-66?variant=39274842062920
100225205002,608.31,Cranberry/Black / Long RH,https://shop.sportsbasement.com/products/alpinlite-20-66?variant=39274842128456
100225194001,524.98,Royal Blue/Black / Regular LH,https://shop.sportsbasement.com/products/ultralite-20-60?variant=39274841014344
100286704003,99.95,Xray Tiger Camo / One Size,https://shop.sportsbasement.com/products/chair-one-re?variant=40524268601416
100225194002,524.98,Royal Blue/Black / Regular RH,https://shop.sportsbasement.com/products/ultralite-20-60?variant=39274841178184
,183.28,Poseidon Blue / Large,https://shop.sportsbasement.com/products/luxurymap-poseidon-l?variant=40533965275208
100287124001,149.16,Picante Red / One Size,https://shop.sportsbasement.com/products/hamelin-15f-regular?variant=40528359751752
100287108001,157.49,Zinnia Orange / Regular,https://shop.sportsbasement.com/products/pursuit-plus-si-mat-regular-wide?variant=40528359227464
,358.28,Birch Bud/Goodnight Gray / One Size,https://shop.sportsbasement.com/products/hornet-osmo-2p-1?variant=40535583752264
100289216001,582.48,White / One Size,https://shop.sportsbasement.com/products/unbound-2p?variant=40557702938696
100287735002,141.62,Reflecting Pond / One Size,https://shop.sportsbasement.com/products/wayback-20?variant=40546223521864
100287126001,157.49,Spicy Orange / One Size,https://shop.sportsbasement.com/products/w-hamelin-15f-regular?variant=40528359784520
100279438004,82.50,Great Smoky / 1 Person,https://shop.sportsbasement.com/products/the-original-puffy-national-park-blanket?variant=40472317886536
100287735001,141.62,Burnt Olive / One Size,https://shop.sportsbasement.com/products/wayback-20?variant=40546223489096
100229071005,283.32,Venturi Blue / S/M,https://shop.sportsbasement.com/products/atmos-50?variant=39472504537160
100229071006,283.32,Venturi Blue / L/XL,https://shop.sportsbasement.com/products/atmos-50?variant=39472504668232
100229071001,283.32,Black / S/M,https://shop.sportsbasement.com/products/atmos-50?variant=39472503947336
100229071002,283.32,Black / L/XL,https://shop.sportsbasement.com/products/atmos-50?variant=39472504111176
100229071003,283.32,Mythical Green / S/M,https://shop.sportsbasement.com/products/atmos-50?variant=39472504275016
100229071004,283.32,Mythical Green / L/XL,https://shop.sportsbasement.com/products/atmos-50?variant=39472504438856
,119.96,One / One Size,https://shop.sportsbasement.com/products/khumbu-fx-ta-compact?variant=40584200814664
,208.28,Marine Blue / Large,https://shop.sportsbasement.com/products/mondoking-3d-blue-l?variant=40533966454856
100286706001,249.95,Black / One Size,https://shop.sportsbasement.com/products/lite-cot?variant=40524268372040
,199.95,One / Large,https://shop.sportsbasement.com/products/neoair-xlite-nxt-l?variant=40533966717000
100270698001,358.28,Storm Gray / XS,https://shop.sportsbasement.com/products/betalight-45-backpack?variant=40103446380616
100270698002,358.28,Storm Gray / S,https://shop.sportsbasement.com/products/betalight-45-backpack?variant=40103446413384
100270698003,358.28,Storm Gray / M,https://shop.sportsbasement.com/products/betalight-45-backpack?variant=40103446446152
100270698004,358.28,Storm Gray / L,https://shop.sportsbasement.com/products/betalight-45-backpack?variant=40103446478920
,33.29,One / One Size,https://shop.sportsbasement.com/products/grand-mesa-4-footprint-1?variant=39459197026376
100212299002,49.96,Limon/Silver / Regular,https://shop.sportsbasement.com/products/z-lite-sol-regular?variant=32179285131336
100212299001,49.96,Blue/Silver / Regular,https://shop.sportsbasement.com/products/z-lite-sol-regular?variant=32179285065800
100277764001,291.61,Morning Blue / One Size,https://shop.sportsbasement.com/products/boost-650-20f-6c-l?variant=40356133175368
100286631003,142.46,9150-Black/Carbon / S/M,https://shop.sportsbasement.com/products/trail-vista-28-backpack?variant=40524252086344
100286631004,142.46,9150-Black/Carbon / M/L,https://shop.sportsbasement.com/products/trail-vista-28-backpack?variant=40524252119112
100286631001,142.46,3053-Laurel Green / S/M,https://shop.sportsbasement.com/products/trail-vista-28-backpack?variant=40524252020808
100286631002,142.46,3053-Laurel Green / M/L,https://shop.sportsbasement.com/products/trail-vista-28-backpack?variant=40524252053576
100271379001,195.00,Wave-Ink / One Size,https://shop.sportsbasement.com/products/aircontact-ultra-50-6?variant=40110831403080
100271379002,195.00,Savanna-Raisin / One Size,https://shop.sportsbasement.com/products/aircontact-ultra-50-6?variant=40580584439880
100286566001,166.66,Blue Spikemoss/Deep Peyto / One Size,https://shop.sportsbasement.com/products/ace-51?variant=40524247367752
100286566002,166.66,Green Canopy/Matcha Green / One Size,https://shop.sportsbasement.com/products/ace-51?variant=40524247400520
100277762001,266.61,Morning Blue / One Size,https://shop.sportsbasement.com/products/boost-650-20f-6c-r?variant=40356132257864
100286299001,224.95,Aubergine Print / LXW,https://shop.sportsbasement.com/products/megamat-print-lxw?variant=40532962902088
100229075001,216.66,Blue Ribbon / S/M,https://shop.sportsbasement.com/products/exos-48?variant=39429348458568
100229075002,216.66,Blue Ribbon / L/XL,https://shop.sportsbasement.com/products/exos-48?variant=39429348491336
100295161001,165.83,Cascade Fade / One Size,https://shop.sportsbasement.com/products/wrap-sack?variant=40644373479496
100286287001,299.95,Fog/Smokey Olive / One Size,https://shop.sportsbasement.com/products/aurora-3p-footprint-2?variant=40524250710088
100222707001,141.62,Black / One Size,https://shop.sportsbasement.com/products/table-one-hard-top-l?variant=39249481564232
,174.95,One / Regular,https://shop.sportsbasement.com/products/neoair-xlite-nxt-r?variant=40533967962184
100286649001,191.66,Elderberry Purple / WXS/S,https://shop.sportsbasement.com/products/kyte-48?variant=40524248875080
100286649002,191.66,Elderberry Purple / WM/L,https://shop.sportsbasement.com/products/kyte-48?variant=40524248907848
100259040001,104.96,One / Regular LH,https://shop.sportsbasement.com/products/anthracite-20-reg?variant=39854315372616
100287126001,157.49,Spicy Orange / One Size,https://shop.sportsbasement.com/products/w-hamelin-15f-regular?variant=40528359784520
100225193001,508.31,Royal Blue/Black / Short LH,https://shop.sportsbasement.com/products/ultralite-20-56?variant=39274841505864
100225193002,508.31,Royal Blue/Black / Short RH,https://shop.sportsbasement.com/products/ultralite-20-56?variant=39274841571400
,183.28,Poseidon Blue / Large,https://shop.sportsbasement.com/products/luxurymap-poseidon-l?variant=40533965275208
100276855001,624.98,Y10-Agave Green/Asphalt Grey / One Size,https://shop.sportsbasement.com/products/wawona-8p?variant=40342091890760
100287109001,132.49,Bombay Brown / Regular,https://shop.sportsbasement.com/products/pursuit-si-mat-rectangular-reg?variant=40528359260232
100225198001,624.98,Moss Green/Black / Long LH,https://shop.sportsbasement.com/products/versalite-10-66?variant=39890565824584
100225198002,624.98,Moss Green/Black / Long RH,https://shop.sportsbasement.com/products/versalite-10-66?variant=39890565857352
100259032001,202.46,One / Regular RH,https://shop.sportsbasement.com/products/w-greystone-20-reg?variant=39854317633608
